,微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置,,
1612,JtmUmcSKd,牛哥擒牛股,男,上海,123,255161,牛哥擒牛股:$上证指数 sh000001$ $创业板指 sz399006$ 个股公告：先导智能中标宁德时代32.28亿元锂电池生产设备项目；兴蓉环境联合中标6.27亿元项目；国祯环保联合体中标3.9亿元项目；宏润建设中标2.73亿元合同；众合科技中标2.18亿元合同；拓维信息中标2.16亿元合同；德宏股份成为一汽吉林电子真空泵供应商；复星医药称mRNA新冠疫苗中国市场毛利65%归复星；新时达拟回购；凯普生物、创新医疗、东华能源、冠昊生物、ST金花股东增持；美年健康股东拟增持。 ,无,2020/11/11 8:42,微博 weibo.com,1,0,0,无,"中标,项目,生物,股东,真空泵",
1613,JtmUxsHxw,趋势巡航,男,湖北,300,201448,趋势巡航:#今日看盘# #股票# 个股利好：先导智能中标宁德时代32.28亿元锂电池生产设备项目；兴蓉环境联合中标6.27亿元项目；国祯环保联合体中标3.9亿元项目；宏润建设中标2.73亿元合同；众合科技中标2.18亿元合同；拓维信息中标2.16亿元合同；德宏股份成为一汽吉林电子真空泵供应商；复星医药称mRNA新冠疫苗中国市场毛利65%归复星；新时达拟回购；凯普生物、创新医疗、东华能源、冠昊生物、ST金花股东增持；美年健康股东拟增持。 原图 ,无,2020/11/11 8:43,微博 weibo.com,12,0,0,无,"中标,项目,生物,增持,股东",
1614,JtmXOqGZ1,弹股論境,男,北京,628,1338213,弹股論境:个股利好：先导智能中标宁德时代32.28亿元锂电池生产设备项目；兴蓉环境联合中标6.27亿元项目；国祯环保联合体中标3.9亿元项目；宏润建设中标2.73亿元合同；众合科技中标2.18亿元合同；拓维信息中标2.16亿元合同；德宏股份成为一汽吉林电子真空泵供应商；复星医药称mRNA新冠疫苗中国市场毛利65%归复星；新时达拟回购；凯普生物、创新医疗、东华能源、冠昊生物、ST金花股东增持；美年健康股东拟增持。#财经# #投资# ,无,2020/11/11 8:51,搜狗高速浏览器,2,0,0,无,"中标,项目,生物,增持,股东",
1615,JtmXR4cbO,股市小鬼才,男,广西,91,522982,股市小鬼才:#今日看盘# 个股利好：先导智能中标宁德时代32.28亿元锂电池生产设备项目；兴蓉环境联合中标6.27亿元项目；国祯环保联合体中标3.9亿元项目；宏润建设中标2.73亿元合同；众合科技中标2.18亿元合同；拓维信息中标2.16亿元合同；德宏股份成为一汽吉林电子真空泵供应商；复星医药称mRNA新冠疫苗中国市场毛利65%归复星；新时达拟回购；凯普生物、创新医疗、东华能源、冠昊生物、ST金花股东增持；美年健康股东拟增持。 原图 ,无,2020/11/11 8:51,微博 weibo.com,144,9,5,无,"中标,项目,生物,增持,股东",
1616,JtmZ8fE8K,xsjyjgl,男,浙江,3692,49401,xsjyjgl:2020年，一切都不容易！一场新冠疫情，让世界变得魔幻！而抗击疫情，让国际社会不仅看到了中国政府的“霹雳手段与菩萨心肠”，更看到了中国医药科研的力量——中国不仅率先控制住了疫情的蔓延，新冠疫苗的研发工作总体上也处于世界领先地位。新冠疫苗，只是我国医药研发力量崛起的一个缩影。中国药企，遵循着“模仿-跟随-超越”的升级路径不断发力，尤其是近十年时间，在肿瘤、神经系统疾病、心脑血管疾病等领域的新药研发中，取得了不俗的成绩。按照一些专家的看法，现在的中国，正在由仿制药大国向创新药大国加速转型。中国药企经过多年的不懈努力，正在一点一点地改变世界医药产业格局。 原图 ,无,2020/11/11 8:54,iPhone 8,4,2,0,无,"中国,世界,疾病,疫情,新冠",
1617,JtmZLi8qd,宋中清主任律师,男,北京,8948,200299,宋中清主任律师:#肺炎[超话]# 【#外交部回应巴西暂停对中国疫苗的实验#：有关的事件同疫苗无关】11月10日，在外交部例行记者会上有记者提问，#巴西卫生机构下令暂停对中国疫苗的实验#，中方对此有何评论？汪文斌表示，我们注意到北京科兴生物有限公司已经就有关的报道做出了回应。据科兴公司在巴西合作伙伴布坦坦研究所判定，有关的事件同疫苗无关。科兴公司将继续就此同巴方保持沟通。#中国新冠疫苗# （中报视频） ,无,2020/11/11 8:55,肺炎超话,1,0,5,无,"疫苗,科兴,巴西,中国,有关",
1618,Jtn08EO18,雪球投研,男,上海,96,693166,雪球投研:公司新闻1、二连板尚纬股份公告称，部分签约艺人并未与标的公司或“抖音”平台签订独家合作协议。2、爱康国宾声明称，爱康国宾与美年健康之间不存在任何合并或重组意向，该等误导性陈述会对爱康国宾的正常运营造成不良影响。3、大族激光公告，公司拟分拆所属子公司深圳市大族数控科技有限公司至深圳证券交易所创业板上市。4、中科信息公告，公司拟向中科唯实、中科仪、上海仝励及陈陵等32个股东发行股份及支付现金购买其持有的瑞拓科技100%股权，交易作价2.45亿元。5、深深房A昨日跌停，公司发布股价异动公告称，公司、控股股东及实际控制人不存在关于公司的应披露而未披露的重大事项，或处于筹划阶段的重大事项。6、美年健康实控人拟在2个月内增持500万股-1000万股公司股份。7、先导智能公告称，近期中标宁德时代32亿元锂电池生产设备项目，约占公司2019年经审计营收总额的69%。8、歌尔股份公告，公司董事会同意公司控股子公司歌尔微电子有限公司筹划分拆上市事项，并授权公司及经营层启动分拆歌尔微电子上市的前期筹备工作。9、北上资金昨日净流出41亿。中国中免净卖出4.4亿，阳光电源净卖出3.2亿，五粮液净卖出2亿，比亚迪净卖出2亿。上海机场净买入6.6亿元，广发证券净买入5.5亿元，中国平安净买入5.3亿元，东方财富净买入4.8亿元。10、韦尔股份股东青岛融通拟减持公司不超1%股份。11、奥福环保公告，红桥创投、科融创投、董事刘洪月、监事张旭光计划合计减持不超过5.33%股份。12、据外媒报道，巴西的卫生监管机构表示，在发生严重的不良事件之后，下令暂停了对中国疫苗的实验。科兴公司表示新冠疫苗巴西三期临床试验暂停与疫苗无关，将继续就此同巴方保持沟通。 ,无,2020/11/11 8:56,新版微博 weibo.com,1,0,0,无,"公司,公告,股份,疫苗,中国",
1619,Jtn7sdCu2,奔跑的何先森,男,北京,94,199496,奔跑的何先森:【复星医药：与BioNTech就新冠疫苗合作在有序推进 区域内能否获批上市以及上市时间存不确定性】复星医药公告，公司控股子公司复星医药产业获BioNTech 授权在区域内（即“中国大陆及港澳台地区”）开展mRNA新型冠状病毒疫苗产品的开发和商业化。复星医药产业与BioNTech就新冠疫苗在区域内的合作在有序推进中。截至目前，全球范围内尚无基于mRNA技术平台研发的预防性疫苗获得上市批准。在研新冠疫苗在区域内能否获得药品监管机构批准、于区域内的上市时间存在不确定性。 ,无,2020/11/11 9:14,iPhone 12,6,0,0,无,"上市,疫苗,区域,能否,批准",
1620,JtnaerBCh,半茶斋-李宬纬,男,湖南,1554,105799,半茶斋-李宬纬:辉瑞制药在特朗普败选的敏感时间点上，宣布新冠疫苗研制取得重大进展，它迅速震动了全球资本市场，这背后便是特朗普始终不忘记与中国的新冠疫苗之争，利益之争，也是政z之争。#美国疫情# #特朗普# [组图共2张] 原图 ,无,2020/11/11 9:21,微博 weibo.com,1,0,0,无,"疫苗,新冠,宣布,市场,研制",
1621,Jtnb6docR,猪八戒爱看台湾,女,上海,675,317946,猪八戒爱看台湾:巴西新冠疫苗暂停原因查明 是志愿者自杀，和中国疫苗无关。目前看，试验会继续进行 [组图共2张] 原图 ,无,2020/11/11 9:23,nova5i 2400万AI四摄,13,4,5,无,"疫苗,巴西,进行,继续,新冠",
1622,JtncS8MuF,中国经济周刊,男,北京,145,1117008,中国经济周刊:【复星新冠疫苗“亮剑”进博会，郭广昌：期待能尽早在中国上市使用】11月9日，复星新冠疫苗在全球的研发合作伙伴德国拜恩泰科（BioNTech）和美国辉瑞宣布，根据三期临床试验的初步分析数据，这次三方合作研发的mRNA疫苗有效率高达90%。而普通流感疫苗也只有70%左右的保护率，远超此前的预期，更远远高于美国FDA要求的50%以上即可获批上市。 ,无,2020/11/11 9:28,微博 weibo.com,1,0,1,无,"中国,疫苗,全球,高于,新冠",
1623,JtndT6ivv,广西卫视,男,广西,1906,659943,广西卫视:【最新消息！#陈薇团队为新冠康复者研制新药#】除了新冠疫苗，陈薇院士还率领团队研发新药，加紧研制针对特异性治疗新冠病毒感染的单抗药物，以及改善新冠肺炎康复者肺纤维化程度的生物新药，争取尽快进入临床试验。期待！加油！（央视军事）#外交部回应巴西暂停对中国疫苗的实验# ,无,2020/11/11 9:30,军事 · 视频社区,1,0,0,无,"新冠,新药,团队,研制,疫苗",
1624,Jtng78d5k,美国侨报网,男,海外,764,730319,美国侨报网:【巴西叫停中国疫苗：“严重不良反应”实为志愿者自杀】在巴西监管部门以出现“严重不良反应”为由叫停中国科兴与巴西某研究所合作研发的灭活新冠疫苗“克尔来福”（CoronaVac）三期临床试验后，该项目巴西方面负责人表示，“严重不良反应”与疫苗无关，对巴西监管部门此举感到意外。根据巴西媒体的后续报道，“严重不良反应”是1名志愿者死亡，死因是自杀。 原图 ,无,2020/11/11 9:36,微博 weibo.com,2,2,3,无,"巴西,自杀,疫苗,监管部门,项目",
1625,Jtnh29ZY0,凤凰名人馆,女,香港,220,35930,凤凰名人馆:【巴西圣保罗:中国疫苗安全 冀恢复测试 】 在巴西，因有参与中国研发新冠疫苗临床试验的人士死亡，而暂停测试，当地圣保罗州政府10号召开记者会，重申测试者死亡与疫苗无关，而死者是自杀身亡。 圣保罗州卫生部长戈林希泰恩，在记者会上，向所有接受临床测试的人士保证、疫苗很安全。负责测试的“布坦坦研究所”、所长科瓦斯也表示，疫苗没显示会有严重不良反应，他希望日内能够恢复疫苗测试。不过，当天巴西国家卫生监督局表示，仍然会暂停测试，并且没交代会暂停到什么时候，只说需要更多资料去研究，又否认决定与政治有关。#全球疫情# [组图共3张] 原图 ,无,2020/11/11 9:38,微博 weibo.com,1,0,0,无,"疫苗,测试,巴西,人士,死亡",
1626,JtnhN7Sdf,扎西德勒·天珠收藏,男,西藏,3609,151130,扎西德勒·天珠收藏:【巴西叫停中国疫苗：“严重不良反应”实为志愿者自杀】在巴西监管部门以出现“严重不良反应”为由叫停中国科兴与巴西某研究所合作研发的灭活新冠疫苗“克尔来福”（CoronaVac）三期临床试验后，该项目巴西方面负责人表示，“严重不良反应”与疫苗无关，对巴西监管部门此举感到意外。根据巴西媒体的后续报道，“严重不良反应”是1名志愿者死亡，死因是自杀。#特朗普称将揭露选票腐败# 原图 ,无,2020/11/11 9:40,无,7,0,6,无,"巴西,选票,疫苗,自杀,叫停",
1627,Jtnk7hCI5,成都工会,女,四川,877,181850,成都工会:【最新消息！#陈薇团队为新冠康复者研制新药#】除了新冠疫苗，陈薇院士还率领团队研发新药，加紧研制针对特异性治疗新冠病毒感染的单抗药物，以及改善新冠肺炎康复者肺纤维化程度的生物新药，争取尽快进入临床试验。期待！加油！（央视军事）#外交部回应巴西暂停对中国疫苗的实验# ,无,2020/11/11 9:46,军事 · 视频社区,1,0,2,无,"新冠,新药,团队,研制,疫苗",
1628,JtnkEolVJ,蕨代霜蛟,男,上海,301,2678873,蕨代霜蛟:光想想乙肝、想想因为疫苗少死在肝癌手里的中国人相比新冠多少年、多多少。地球上绝不仅仅是新冠之后才出现传染病的。人啊说话做事起码的良心和体面不能扔掉的，再toothless也要有个起码的限度。 原图 ,无,2020/11/11 9:47,iPhone 8 Plus,641,82,49,无,"起码,想想,体面,中国,地球",
1629,Jtnlyhwob,居然不想出国2016,男,广西,1144,5531,居然不想出国2016:韩国接种流感疫苗后死亡人数破百，国际媒体静悄悄，都在炒作巴西那个使用中国疫苗的志愿者，可惜最后证实这位志愿者是自杀，其死亡与中国新冠疫苗无关。 原图 ,无,2020/11/11 9:49,微博 weibo.com,11,0,0,无,"疫苗,死亡,中国,志愿者,韩国",
1630,Jtnmi3udA,连淮徐盐,男,江苏,7968,1699299,连淮徐盐:#巴西新冠疫苗志愿者死因是自杀#【外媒：巴西接种中国新冠疫苗后死亡的志愿者是自杀】据外媒报道，在当地时间11月9日，巴西卫生监督局发布了一则声明，声称中国科兴生物在当地进行的疫苗测试出现了「严重不良事件」，所以暂时停止了中国科兴疫苗的所有试验。之后布坦坦研究所主任马斯•科瓦斯表示，该「严重不良事件」指的是有一名志愿者在参与疫苗试验中死亡。当地时间10日，巴西媒体TV Cultura报道称，已经看过涉事实验志愿者的验尸报告，指当事人的死亡与疫苗无关，是自杀。10日，#外交部回应巴西暂停对中国疫苗的实验# ，汪文斌表示，我们注意到北京科兴生物有限公司已经就有关的报道做出了回应。据科兴公司在巴西合作伙伴布坦坦研究所判定，有关的事件同疫苗无关。详情： 原图 ,无,2020/11/11 9:51,小米手机,3,0,4,无,"疫苗,巴西,科兴,中国,志愿者",
