















NMDAR,Hal,Cloz,SPD,NR2B,concentration,inhibited,receptor,effects,subunit






























bolt,FRP,load,eccentric,failure,stress,bolts,roadway,support,amount

film,films,deposited,ultraviolet,vibration,cm,TiO2,composition,hydrophobic,investigated
breakdown,frequency,discharge,voltage,radio,glow,atmospheric,pressure,employed,gas




尾矿,赋存,表层,下部,硫化物,风化,尾矿库,扫描电镜,杨山冲,SEM
沉积物,深度,Eh,营养盐,微生物,pH,TN,OM,多样性,群落
微生物,矿物,附着,风化,表面,地球化学,速率,局部,表生,现象
花岗岩,SnO2,岩浆,九峰,花山,热液,含锡,骑田岭,锡矿,石是
pyrite,copper,sedimentary,solution,experimental,hydrothermal,ore,forming,surface,diplogenetic
nju,T1,还原,Fe3,矿水,厌氧,机理,条件,培养,尾矿库
酸性,矿水,酸矿,菌株,氧化,16S,rRNA,异养菌,三价,细菌















Ma,石英,置信度,岩体,95%,MSWD,黑钨矿,接触,寒武,年龄
花岗岩,TTG,元古代,雅江,杂岩,奥长,康定,原划,桥片,麻状

成矿,金矿,矿床,这批,Ar,矿产地,钨矿,冈底斯,数据,一部分
reactions,Cyclopalladated,ferrocenylimines,highly,efficient,palladium,catalyst,precursors,air,stable


















甲苯,电化学,Fe,溶解度,室温,电解质,溶剂,还原,窗口,六步
















指纹图,直方图,255,嵌入,基于,指纹识别,数字水印,值有,5000,信噪比

游程,图像,长度,方法,嵌入,图表,色调,直方图,文字,适应
音频,信号,检测,篡改,插值,采样,EM,取证,算法,统计






极大,极小,数字电路,逻辑电路,运算,周期时间,相当于,有向图,反馈作用,充分条件











LVDD,RVDD,ASD,缺损,亚组,术后,封堵,对照组,患者,20mm
LVDD,mm,PAMP,术后,mmHg,内径,统计学,PDA,25,差异
肾上腺,皮质醇,患者,ACTH,切除,异位,治疗,皮质激素,综合征,双侧



平滩,流量,主槽,输沙,下游,洪水,非漫滩,5000m3,4000m3,水量
















survey,spectroscopic,Galactic,evolution,aimed,chemical,resolution,project,structure,sky
PNe,31,dynamics,Telescope,GSJT,Planetary,nebulae,tracers,stellar,populations
quasar,candidates,Telescope,GSJT,fields,31,quasars,discovered,preliminary,analyses

























粒数,加性效应,QTLs,代换,亲本,QTL,个穗,单片,受体,染色体
剑叶,性状,QTL,水稻,形态,叶面积,育种,颖花,株型,主穗
叶枯病,条纹,抗性,武运,STS11,株系,性状,回交,亲本,筛选
不育,63S,S2,基因,标记,1587,F2,分离,遗传,水稻
QTL,耐性,指数,加性效应,敏感性,上位,光氧化,加性,染色体,水稻
染色体,定位,区间,QTL,代换,水稻,多元回归,9311,晴为,128
代换,片段,染色体,水稻,群体,轮回亲本,株型,晴为,广陆,334.3
加性效应,QTLs,代换,单片,亲本,矮秆,个株,受体,染色体,遗传
psl1,基因,突变体,早衰,定位,11,水稻,标记,叶片,利用



plasma,108,CIMP,tissue,samples,HCC,status,methylation,tumor,stage








调制,脉冲,再生,增益,放大,放大器,波长,介质,幅度,效应
禽流感,活疫苗,H5,免疫,加强免疫,H9,效价,养鸭,二价,亚型






千粒重,粒重,粒厚,粒长,性状,25.0,35.1,粒型,增加,群体
染色体,qAWN,cM,遗传,定位,距离,QTLs,之间,品种,置换
QTL,粒长,粒厚,染色体,粒宽,12,粒型,性状,区间,标记
qCTB,cM,9311,冷性,置换,染色体,片段,芽期,受体,低温

MGIT960,培养,符合率,药敏,试验,镜检,分别,系统,INH,RIF


118,药敏,MGIT,960,试验,SLD,培养,耐药,符合率,Eto

















HCV,基因组,细胞,HCV1b,集落,RNA,复制子,检测,筛选,体外
DTD,阳离子,选择性,细胞,SH,SY5Y,脱酰酶,表达,通透性,通道

分辨率,重建,图像,图切,算法,函数,能量,expansion,link,二阶
字典,图像,算法,图像去噪,原子,更好,小波,orthogonal,matching,pursuit











LB2,HIV,活性,整合,18.8,kD,鼠李糖,出较,这五种,木糖
多糖,提物,灵芝,含量,分子量,实体,kDa,透析,后期,成熟





























监测,igbee,盲区,煤矿安全,扩展,网络,RS232,网络应用,系统软件,计算机技术

网关,无线,家庭网络,传输速率,低功耗,ZigBee,ARM9,STR912FW44X,COS,cc2430
无线,GPRS,油井,远程,油田,构建,系统,监控,抽油机,通信
载波,正交,调制,小波,系统,双通道,波包,比特率,采样率,symlets
监测,传感器,煤矿安全,网络,无线,系统,灵活,基于,Zigbee,RS232














eb,测试,模型,Petri,应用软件,飞速发展,链接,可靠性,基于,典型
复用,模板,基于,本体,工作,方法,定义,过程,定义方法,PDTBR
软件产品,软件,度量,管理,复用,思路,实践,管理决策,各层次,最高级别
复用,定义,过程,工作,方法,实用工具,定义方法,领域,低效,模板
业务流程,时序,线性,验证,流程,逻辑,模型,不一致性,定义语言,XML
任务,网格,任务调度,WebGrid,算法,采用,层次,优先,编码方式,遗传算法


晶间腐蚀,溶液,晶界,酸性,中性,Al,Mg2Si,Al4.01,MnFeCrCu,Si0.74
时效,合金,T1,析出,强化,力学性能,Al,Cu,Li,数量








开采,科学,产能,煤炭,得分,煤炭资源,我国,高效,安全,绿色
科学,煤炭,开采,产能,煤炭资源,2030,39,目标,三步走,全面实现
GFRP,吸湿,荷载,力学性能,片材,氯离子,抗拉强度,弹性模量,耦合,时变
煤炭,产能,我国,科学,2030,2050,特点,战略部署,提出,煤炭工业

裂隙,渗透,介质,渗透系数,试验,表面,试验台,黏贴,细砂,渗流





实习,野外,微生物,微生物学,微观世界,内容,人才培养,真菌,生态环境,科研








扩展,城市边缘,空间,边缘,Landsat,TM,1994,1999,2004,以向外
梯度,住宅,特征,土地出让,强度,价格,城市,北京,商业,参数估计

地理学,地理学家,中国,发展,研究,美国,人文,对比,实践,高速
规划,集群,模式,传统产业,理论,产业,构建,地方化,创导,网络时代
郊区化,商业,土地出让,扩散,超市,数据,探讨,驱动,北京,扩展

国土规划,国土,日本,重视,导向,内容,成效,五新,4S,在于
地理学,美国,发展,自然,20,1990,领域,载文,实践,相对
模型,预设,变量,梯度,中心,特征,价格,假设,研究,空间结构
对象,安全套,95%,CI,艾滋病,流动人口,总分,知识,性行为,不同
人工流产,育龄妇女,避孕,95%,CI,1.063,学历,流产,比例,社区
生育,期望,孩子,流动人口,20,组为,对象,已婚,40,95%
VCT,VCR,开展,计卫,95%,CI,赞同,社区,联合,计生
AIDS,condom,factors,knowledge,subjects,resident,rural,transmit,influencing,educational
AIDS,prejudice,respondents,province,knowledge,patients,factors,study,characteristics,respondentsthought












micro,acceleration,space,impacts,amount,debris,ranging,millimeters,micrometers,influence


线圈,测量,静电屏蔽,进行,详细分析,电子线路,方案设计,科夫斯基,信号处理,加速器




绝缘子,复合,闪络,覆冰,工频,普通型,电压,110kV,防冰,闪型


传感器,放电,天线,等角,尖端放电,110,kV,手孔,盘锥天线,沿面


纳米,击穿场强,粒径,SiO2,颗粒,填充,介质,复合,分数,nm




线棒,等温,老化,绝缘,松弛,电流,试样,陷阱,衰减模型,定子
实验教学,基础性,实验,教学,教学质量,学科,双语,上海医学院,功能,创新性


医学生,人文,基本素质,素质,大学生,校医,上海医学院,调查,医学知识,素质教育




归一化,图像,水印,几何,攻击,方案,抵抗,不变,数字图像,数字水印
音频,水印,数字音频,数字水印,特征,算法,抗去,点为,提取,同步
图像,检索,算法,SVR,彩色图像,领域,本文,查准率,查全率,基于
ANSYS,网格,划分,模拟能力,金属支架,模型,模拟计算,型钢,U29,可缩性
破碎,监控,监督控制,组态,鼎豪,2012,PLC,Profibus,DP,SCADA
主轴,LabVIEW,位移,误差,由电,变频器,涡流,系统,编程,数据
水印,归一化,图像,几何,数字图像,DFT,幅值,攻击,嵌入,方案
教学,网络,平台,智能化,技术,教学系统,教学管理,Internet,多媒体技术,功能
彩色图像,直方图,角形,区域,边缘,圆环,彩色,图像,人眼,检索
数字水印,算法,图像,几何,攻击,空间,理论,缩放,宽高比,原文中
语义,图像,检索,高级,低层,特征,纹理,算法,视觉,SVR

































CMC,起泡,凝胶,反应,蛋清,羧甲基,样品,60,2d,明显增强


胆固醇,禽蛋,方法,蛋品,因高,环糊精,脱除,包埋,开发,产业
PCR,引物,RAPD,优化,扩增,条件,琼脂糖,CCGAAGCTGC,DNA,复性





银莲花,林荫,诱导,外植体,愈伤,MS,NAA,组织培养,球茎,培养基
检测,方法,快速,免疫,小麦,缓冲液,硫丹及,硫丹,80%,PBS

比色法,四唑,材料,琼脂,实验,聚氨酯,亚锡,合成,覆盖,烷酸酯

情境,教学,课程,专业英语,ESP,教学模式,教学改革,体系,课时,教学内容
网格,算法,展平,变形,坯料,参数,初始,数值,网格化,得到
板料,晶粒,900,温度,尺寸,加热,奥氏体,腐蚀,微观,氧化
焊接,高强度,成形,点焊,钢点,板料,金相,试验,钢板,载荷
时效,断裂韧性,铝合金,人工,性能,扫描电镜,Kahn,170,185,30

股票价格,我国,通货膨胀,CPI,变动,未来,影响,VAR,WPI,说明
工资,刚性,职工,职工工资,激励,样本,向下,弹性,业绩,向上
货币,需求,我国,交易,扩张,影响,鲍莫尔,1981,2004,协整
标准,选择,制度,范式,框架,汇率,分析,演变,宏观,研究
能源工业,能源,资源,安全,发展,金融,支持,关乎,不断加强,全局
方式,增发,配股,理论,模型,进行,实证,上市公司,采用,再融资
维持性,赤字,账户,经常,外部,失衡,本文,判断,普遍现象,方法
现货,波动,石油,期货价格,溢出,相关系数,价格,之间,英国,美国
plate,forward,MAS,mill,wedges,head,tail,derived,model,slip
改造,AGC,控轧,控冷及,轧线,同板,异板,差及,效果,中板
plan,view,pattern,control,simplified,volume,compensation,calculation,model,result

















农村金融,收入,农民,发展,家庭,结构,效率,各项,负作用,江苏
创新,协同,大学,企业,创新能力,提升,知识,势差,范式,参与
苏南地区,现代化,经济社会,韩国,HDI,先进性,多角度,选择,禀赋,指标体系
人力资本,外溢,农村,差距,城乡居民,收入,城乡,缩小,协整,充分条件
人才,创新,集聚,优势,空间,邻近,转型,强化,知识,人才需求
经济大国,成长,强国,优势,竞争,中国,大国,经济,转型,发挥







free,radical,scavenging,activity,hydrolysate,sea,cucumber,kDa,fraction,rabbit
罗非鱼,活力,柱层析,匀浆,后经,SephadexG,100,DEAESephadexA,50,SDS
修饰,ACE,蛋白,活性,地瓜,反应,IC50,产物,体壁,抑制










网络,用户,节点,资源,度值,权值,趋向,兴趣,数据抽象,差异

扩频,映射,加密,实用性,混沌,应用,本文,支持,系统,同步
拓扑,元胞,自动机,传感,无线,节点,换取,生存,基于,控制算法







castings,investment,turbine,multiple,blade,distribution,solidification,blades,model,single
形核,共晶,试验,合金,模拟,温度,凝固,微观,进行,模型
model,magnesium,alloy,AZ91D,simulate,solidification,process,grain,current,metallographic
砂型,铸件,横梁,物性,参数,缩孔,铸钢件,温度,17.5,试件









小鼠,高脂,辣椒素,饮食,胰岛素,脂肪,耐量,干预,TRPV1,GLUT4
VA,cm2,代谢,综合征,检出率,腹内,腹围,脂肪,BMI,70
小鼠,高盐,UCP3,WT,敲除,内皮,饮食,功能,血管,阴离子
临床,手术,术后,胃肠,内分泌科,路径,糖尿病,转流,随访,学科
OSAS,腹内,肥胖,血压,脂肪,患者,85,cm2,睡眠,指标





phenyl,monosubstituted,pyrimidine,pyridyl,sulfonylureas,synthesized,pyridinesulfonamide,pyrimidyl,carbamate,screened




神经元,159,ms,NE,Q10dB,5.5,单峰,下丘,CF1,FM1






CF,Sa,radar,absorbing,Fe,frequency,range,18.0,GHz,material





风险,分类,Hayashi,数量化,矩阵,风险管理,类别,构建,组合,通过


XML,LXT,查询,文档,表达式,查询方法,树状,模板,描述,基于















MyD88,Og,grouper,domain,amino,fish,spleen,factor,involved,Toll










文化层,石器,石制品,4C,4B,刮器,石片,类型,埋藏,为主
database,paleoanthropological,sites,paleoenvironmental,human,GIS,based,environmental,comprehensive,settings
水洞,文化层,地点,石制品,动物化石,火塘,遗址,2003,100m2,AMS14C

developed,detection,molecule,protein,strategy,sensitive,selective,interaction,folate,binding




























凋亡,细胞,30,肿瘤,刺激,膜电位,HepG2,60,线粒体,诱导
脉冲,肿瘤,荷瘤,治疗,对照组,VX2,肝癌,组织,处理,生存
电能,计量,评估,装置,运行,综合,状态,检验,指标,针对


监测,固井,地震,钻井,井下,地层,观测,地震台,注浆,未记录
platform,network,developed,testing,model,structural,data,remotely,Internet,tests
蔬菜,效应,竞争力,出口,增长,CMS,1992,1997,出口贸易,我国
区域,购销,本文,充足,承包户,差异,各类,费用,种养,标准规范
林权,信贷风险,金融机构,信贷,抵押,困境,风险,约束,贷款,抵押物
奶牛,养殖,2006,1266,150,入区,25%,挤奶,养殖户,牛犊
价格指数,居民消费,粮食,检验,相关性,二者,脉冲响应,格兰杰,单位根,1991
发生率,当地,土地,流转,转包,耕地,龙头企业,经营户,资源,合作社
家庭经营,纯收入,人均,农民,农产品,收入,变化,价格,检验,格兰杰
产业结构,产业,转变,主导,升级,发展,经济,内部结构,服务业,绿色










盐析,果胶,乙醇,提取液,提取,消耗量,方法,不同,取得,品质
豆类,蛋白质,芸豆,加热,凝胶,红豆,绿豆,蛋白,形成,紧密连接
交互作用,提取,盐析,温度,果胶,因素,取得,香蕉皮,提取液,四个
果胶,制备,用量,萃取,淀粉,抗拉强度,变性,助膜剂,浓度,成膜
提取,果胶,盐析,温度,提取液,结果表明,数学模型,因素,工艺,试验
八角,提取,乙醇,料液,100,工艺,树脂,浓度,条件,直径
SHP,糖苷键,高碘酸,Smith,洗脱,降解,结果表明,紫外,摩尔,组分



闪长岩,石英,结合部位,测年技术,岩石,秦祁,出露,造山带,LA,ICPMS
CO2,浓度,洞道,游客,天泉,实测,洞内,身体健康,高程,测量
火山岩,玄武,企鹅,地幔,岩浆,岩石,系列,为拉斑,英安岩,Sr
Nb,辉绿岩,玄武岩,达坂,地幔,元素,亏损,天山,北缘,混杂
Ga,锆石,秦岭,Ma,造山带,地质,年龄,记录,火山岩,碎屑

房颤,RATs,0.001,永久性,95%,CI,持续性,射频,消融,导管


Ang,模型,气虚,复合,内皮,损伤,运动,药物,NE,ACTH
团聚,粒径,石灰,2mm,干湿,有机,含量,20m,全土,人工林
胁迫,盐分,植物,响应,干旱,极端,生长,形态学,冰冻,延误
生物量,随林龄,林龄,凋落,人工林,马尾松,32a,乔木,地上,分配
靶标,因子,转录,响应,miRNAs,miR319,miR390,miR393,miR398,生长素
TN,TP,AP,火烧,土壤,封育,土地利用,养分,草地,模型
胁迫,耐受性,非生物,转基因,受限于,植物,作物,基因,阐明,工程化
胁迫,响应,转录,禾本科,非生物,调节,因子,高盐,ABA,植物
团聚,粒径,微生物,森林土壤,人工林,土壤,次生林,体中,喀斯特,高出



HOG,特征,梯度,梯度方向,计算,积分,分类器,检测,直方图,实验






渠道,权力,应用,强制性,关系,研究,制造商,强度,显著,影响



NPP,gC,显著性,趋势,地区,该区,源区,10a,99%,95%
紫花苜蓿,干草,m2,拉萨,积累,河谷,次达,鲜草,地区,西藏

迟缓,发育,儿童,筛查,四区,18,月龄,患病率,保健网,182



集群,集聚,知识,升级,关联,产业,低端,制造业,态势,集而
民营,并购,扩张,上市公司,绩效,行为,关注,研究,企业,因子分析
集群,知识,认知,吸收能力,角色,扩散,企业,网络分析,守门人,系统学
商业地产,竞争,双边,平台,策略,分配机制,市场,创造者,充分考虑,差异化
医疗保险,筹资,制度,增长,全民,借鉴,本文,同步,发展,经济
运作,质量,框架,政府,控制,过程,以及,三大,EFQM,多角度
SAM,更新,保号,检验,方法,细化,交叉,宏观,基于,Social
创新,区域,存量,增长,联盟,研发,知识,经济,自主,水平
知识,组织,绩效,连锁,分享,资本,酒店,实证性,维度,结构






腐蚀,混凝土,系数,温度,浓度,试样,变化规律,试验,城市热岛,效应


白兰地,挥发性,成分,分离,采用,14,相色谱,鉴定,预处理,方法
蒸馏,酒中,EC,萃取,酒精度,检测,方法,定量,顶空固,相微
MPs,甲氧基,吡嗪,葡萄,线性,SPME,丁基,萃取,方法,检测
香气,白兰地,橡木,乙酸,成分,甲基,来自,己烯,形成,XO
挥发性,鉴定,成分,萜烯,液液,XO,GC,MS,品比,RI
共表达,伴侣蛋白,脂肪酶,毕赤,BH128,H238,发酵,酵母,速率,Ero1p
白酒,风味,感官,浓香型,描述,50,参比样,19,威士忌,白兰地

香气,挥发性,成分,葡萄,GC,香味,MS,相色谱,强度,酿酒






创面,糖尿病,血管,震波,生长因子,内皮细胞,表达,治疗,体外,对照组
创面,对照组,ESW,大鼠,糖尿病,0.05,密度,治疗,PCNA,微血管













modification,PbO,fatigue,endurance,PZT,films,interfacial,effects,electrode,ceramic









































特高压,直流,电网,电压,四川,AVC,控制系统,系统,协调,金沙江流域








刚度,柔性,并列,装配,误差,加速度计,状态值,合成,解析,挠性
铰链,柔性,失效,材料,转角,加速度计,Ashby,弹性模量,计算公式,刚度
光学系统,光线,仿真,传输,四元,运算,可视化,方法,枕形畸变,平台




























spin,NDC,leads,polarization,single,transitions,Transport,properties,theoretically,studied

spin,Hall,contribution,extrinsic,dissipationless,orbit,impurity,paper,substantial,amount




重联,电流,探针,通量,等离子体,磁场,平行,测量,位型,磁力线

重联,磁场,等离子体,装置,实验,实验室,太阳,亚暴,耀斑,中国科技大学













InGaN,induced,solar,doping,concentration,carrier,lifetime,cell,density,net










DIS,HLA,仿真,互连,交互,协议,分布,基于,转换,Distributed

血清,EHT,17,mol,DBP,因素,SBP,胆固醇,彰武县,危险






正则,收敛性,估计,Tikhonov,解对,解在,问题,高维,不等式,先验
正则,Laplace,Cauchy,中该,Carasso,Tikhonov,阶数,问题,收敛性,不等式
正则,光滑性,估计,Fourier,lder,Tikhonov,收敛性,先验,利用,热传导









acid,10,ester,benzoic,石斛,鼓槌,dihydroxy,dimethoxy,化合物,分离

长春花,C20hi,表达,细胞株,C20D,阿玛碱,合成,自养,转录,水平

聚糖,醛酸,LBP,GalAp,半乳糖,多糖,主链,Rhap,果胶,支链





KN,KNO3,KNbO3,粉体,钾源,K2CO3,晶相,结晶,形貌,微米
光催化剂,光催化,半导体,简要,研究,TiO2,固定化,改性,综述,降解
凝胶,固化,注模,固相,对料,及坯体,氧化锆,烧成,单体,成型


钒酸盐,光催化剂,材料,可充电,高活性,BiVO4,InVO4,Ag3VO4,FeVO4,催化活性




光谱,图像,训练样本,算法,分类,特征,分类器,纹理,STF,CT























氯唑,沙宗,咖啡因,mm,2.5,12.5,浓度,血清,测定,检测


CYP2E1,大鼠,大黄,氯唑,沙宗,t12,AUC,0.21,CL,探针
